templ-1,"she like dogs , except huskies .",1
templ-2,"he like dogs and , more generally , bulldogs .",0
templ-3,"i like dogs , yet i do not like huskies .",1
templ-4,"if dogs did not exist , then huskies would not exist either .",1
templ-5,"he love dogs , but on the contrary , he do not love bulldogs .",1
templ-6,he like dogs more than bulldogs .,0
templ-7,they like dogs and additionally huskies .,0
templ-8,"apart from dogs, he like huskies .",0
templ-9,he love dogs as well as huskies .,0
templ-10,"she like dogs , though she do not like bulldogs .",1
templ-11,"he love dogs , but most of all bulldogs .",1
templ-12,"i like dogs , but my liking for huskies is greater .",0
templ-13,"he love dogs , although he do not love huskies .",1
templ-14,"if dogs did not exist , then huskies would not exist either .",1
templ-15,she love dogs and bulldogs .,0
templ-16,"he love dogs in general , but huskies are my favorite .",1
templ-17,they love both dogs and huskies .,0
templ-18,"they love dogs , but their liking for huskies is greater .",0
templ-19,"he like dogs , and narrowing it down , bulldogs .",1
templ-20,she love not only dogs but also bulldogs .,0
templ-21,"while he like dogs , he do not like huskies .",1
templ-22,i like dogs and additionally bulldogs .,0
templ-23,"she like dogs , however not huskies .",1
templ-24,"he like dogs , though he do not like bulldogs .",1
templ-25,dogs is my favourite type of huskies .,0
templ-26,"i like dogs , but my appreciation of huskies is greater .",0
templ-27,"he love dogs , but even more bulldogs .",0
templ-28,"i like dogs , however i do not like huskies .",1
templ-29,"he do not like dogs , but he like bulldogs .",1
templ-30,she love dogs as well as bulldogs .,0
templ-31,"they like dogs and , to generalise , huskies .",0
templ-32,they like dogs while they do not like bulldogs .,1
templ-33,"she like dogs , which is a kind of bulldogs .",0
templ-34,"if dogs did not exist , then huskies would not exist either .",1
templ-35,"while i like dogs , i do not like huskies .",1
templ-36,"he love dogs , which is an example of bulldogs .",0
templ-37,i like dogs and moreover huskies .,0
templ-38,he like dogs and additionally bulldogs .,0
templ-39,"i do not like dogs , but i like huskies .",1
templ-40,dogs is a subtype of bulldogs .,0
templ-41,"they like dogs and , to generalise , huskies .",0
templ-42,they love dogs while they do not love bulldogs .,1
templ-43,"they love dogs , and to be more specific huskies .",1
templ-44,"i like dogs , but huskies are my favorite .",0
templ-45,"he love dogs , less generally huskies .",1
templ-46,"she love dogs and , to generalize , bulldogs .",0
templ-47,"i love dogs , but above all , huskies .",0
templ-48,"they like dogs , an interesting type of huskies .",0
templ-49,"apart from dogs, she like bulldogs .",0
templ-50,"he like dogs and , broadly speaking , huskies .",0
templ-51,"she like dogs and , to generalize , bulldogs .",0
templ-52,"i like dogs , but most of all huskies .",1
templ-53,"i like dogs , an example of bulldogs .",0
templ-54,she would choose dogs over bulldogs .,0
templ-55,"they love dogs , but bulldogs are their favorite .",0
templ-56,dogs is a subclass of bulldogs .,0
templ-57,"she like dogs , however not bulldogs .",1
templ-58,"i love dogs , and narrowing it down , huskies .",1
templ-59,"they like dogs , but they do not like bulldogs .",1
templ-60,"she like dogs and , broadly speaking , bulldogs .",0
templ-61,he love dogs and bulldogs .,0
templ-62,"he love dogs , but even more bulldogs .",0
templ-63,she love dogs and moreover bulldogs .,0
templ-64,he like dogs more than huskies .,0
templ-65,"he love dogs , although he do not love bulldogs .",1
templ-66,"he like dogs , and particularly huskies .",1
templ-67,"i love dogs , but even more bulldogs .",0
templ-68,she love dogs and moreover huskies .,0
templ-69,"i love dogs , less generally bulldogs .",1
templ-70,"he like dogs , and moreover , he like bulldogs .",0
templ-71,"he love dogs , but more so huskies .",0
templ-72,"though he love dogs , he do not love huskies .",1
templ-73,"i love dogs , yet i do not love huskies .",1
templ-74,"they love dogs , but even more huskies .",0
templ-75,they would pick dogs over bulldogs .,0
templ-76,he like both dogs and bulldogs .,0
templ-77,"i love dogs , yet i do not love bulldogs .",1
templ-78,"i like dogs , an example of huskies .",0
templ-79,i like dogs while i do not like huskies .,1
templ-80,"they like dogs , an example of bulldogs .",0
templ-81,"they like dogs , yet they do not like bulldogs .",1
templ-82,"i do not love dogs , i prefer bulldogs .",0
templ-83,"they do not love dogs , but they love huskies .",1
templ-84,"she like dogs , but her appreciation of huskies is greater .",0
templ-85,"they love dogs , but huskies are their favorite .",0
templ-86,"she love dogs , but more so huskies .",0
templ-87,"he love dogs , but most of all bulldogs .",1
