templ-1,"He love dogs , an interesting type of huskies .",0
templ-2,"He do not like dogs , he prefer huskies .",0
templ-3,"I love dogs , an interesting type of bulldogs .",0
templ-4,"I do not like dogs , i prefer bulldogs .",0
templ-5,I like dogs more than bulldogs .,0
templ-6,"She love dogs , except huskies .",1
templ-7,She like dogs more than huskies .,0
templ-8,"He love dogs , except bulldogs .",1
templ-9,They love dogs more than bulldogs .,0
templ-10,"They like dogs , an interesting type of bulldogs .",0
templ-11,I like dogs more than huskies .,0
templ-12,I love dogs more than huskies .,0
templ-13,"He do not like dogs , he prefer bulldogs .",0
templ-14,They like dogs more than bulldogs .,0
templ-15,She like dogs more than bulldogs .,0
templ-16,"I do not love dogs , i prefer huskies .",0
templ-17,She love dogs more than bulldogs .,0
templ-18,"She love dogs , except huskies .",1
templ-19,"He love dogs , an interesting type of bulldogs .",0
templ-20,"She like dogs , an interesting type of bulldogs .",0
templ-21,"He do not like dogs , he prefer bulldogs .",0
templ-22,They like dogs more than huskies .,0
templ-23,"She do not love dogs , she prefer huskies .",0
templ-24,"She like dogs , except huskies .",1
templ-25,"They do not like dogs , they prefer huskies .",0
templ-26,"She love dogs , except huskies .",1
templ-27,"I do not like dogs , i prefer bulldogs .",0
templ-28,"I love dogs , an interesting type of bulldogs .",0
templ-29,"They like dogs , an interesting type of bulldogs .",0
templ-30,"They love dogs , except huskies .",1
templ-31,They love dogs more than huskies .,0
templ-32,"He like dogs , an interesting type of bulldogs .",0
templ-33,"I love dogs , except huskies .",1
templ-34,"She love dogs , an interesting type of bulldogs .",0
templ-35,I like dogs more than bulldogs .,0
templ-36,"He do not love dogs , he prefer huskies .",0
templ-37,"He love dogs , an interesting type of huskies .",0
templ-38,"She like dogs , an interesting type of bulldogs .",0
templ-39,"They like dogs , an interesting type of bulldogs .",0
templ-40,"They do not like dogs , they prefer huskies .",0
templ-41,"They do not like dogs , they prefer huskies .",0
templ-42,"I love dogs , an interesting type of huskies .",0
templ-43,They like dogs more than bulldogs .,0
templ-44,"I like dogs , except huskies .",1
templ-45,"He do not like dogs , he prefer huskies .",0
templ-46,"They do not love dogs , they prefer bulldogs .",0
templ-47,I love dogs more than huskies .,0
templ-48,"She do not like dogs , she prefer bulldogs .",0
templ-49,"He like dogs , except bulldogs .",1
templ-50,"They like dogs , an interesting type of bulldogs .",0
templ-51,"They like dogs , an interesting type of bulldogs .",0
templ-52,"They love dogs , except bulldogs .",1
templ-53,"They like dogs , except huskies .",1
templ-54,"They love dogs , an interesting type of bulldogs .",0
templ-55,"They love dogs , an interesting type of huskies .",0
templ-56,"He like dogs , an interesting type of huskies .",0
templ-57,I love dogs more than bulldogs .,0
templ-58,"They like dogs , except huskies .",1
templ-59,She love dogs more than bulldogs .,0
